[ 2016-01-05T21:01:21+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.004370s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000224s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Index&a=verify | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:21+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.004030s ]
[ 2016-01-05T21:01:21+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000164s ]
[ 2016-01-05T21:01:48+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003449s ]
[ 2016-01-05T21:01:48+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000124s ]
[ 2016-01-05T21:01:48+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:48+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.002770s ]
[ 2016-01-05T21:01:48+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000094s ]
[ 2016-01-05T21:01:48+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002721s ]
[ 2016-01-05T21:01:48+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT `id`,`projectId`,`en_name`,`cn_name` FROM `gt_project_agent` WHERE projectId = 1 ORDER BY id desc [ RunTime:0.000076s ]
[ 2016-01-05T21:01:48+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: gt_uname 49911e3ce71b4510dda615283121d865.php 第 38 行.
[ 2016-01-05T21:01:48+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: pitch 49911e3ce71b4510dda615283121d865.php 第 43 行.
[ 2016-01-05T21:01:49+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.005551s ]
[ 2016-01-05T21:01:49+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000185s ]
[ 2016-01-05T21:01:49+08:00 ] /?m=Index&a=verify | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:49+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.005034s ]
[ 2016-01-05T21:01:49+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000133s ]
[ 2016-01-05T21:02:01+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002808s ]
[ 2016-01-05T21:02:01+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000173s ]
[ 2016-01-05T21:02:01+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:02:01+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.004105s ]
[ 2016-01-05T21:02:01+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000126s ]
[ 2016-01-05T21:02:01+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003025s ]
