[ 2016-01-30T00:27:32+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003353s ]
[ 2016-01-30T00:27:32+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000125s ]
[ 2016-01-30T00:27:32+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002796s ]
[ 2016-01-30T00:27:32+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000162s ]
[ 2016-01-30T00:27:32+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002526s ]
[ 2016-01-30T00:27:32+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:28:20+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002680s ]
[ 2016-01-30T00:28:20+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000118s ]
[ 2016-01-30T00:28:20+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003048s ]
[ 2016-01-30T00:28:20+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000169s ]
[ 2016-01-30T00:28:20+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002540s ]
[ 2016-01-30T00:28:20+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:28:36+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.004026s ]
[ 2016-01-30T00:28:36+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000133s ]
[ 2016-01-30T00:28:36+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.004857s ]
[ 2016-01-30T00:28:36+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000199s ]
[ 2016-01-30T00:28:36+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003424s ]
[ 2016-01-30T00:28:36+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:29:36+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003822s ]
[ 2016-01-30T00:29:36+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000136s ]
[ 2016-01-30T00:29:36+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003711s ]
[ 2016-01-30T00:29:36+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000136s ]
[ 2016-01-30T00:29:36+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002767s ]
[ 2016-01-30T00:29:36+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:30:19+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002581s ]
[ 2016-01-30T00:30:19+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000087s ]
[ 2016-01-30T00:30:19+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002832s ]
[ 2016-01-30T00:30:19+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000133s ]
[ 2016-01-30T00:30:19+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003357s ]
[ 2016-01-30T00:30:19+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:30:21+08:00 ] /admin.php?m=order&a=getCounts&sEcho=1&iColumns=10&sColumns=id%2Cuser%2Cgame_id%2Cserver_id%2Corder_id%2Cmoney%2Camount%2Cstatus%2Ccreatetime%2Coperate&iDisplayStart=0&iDisplayLength=100&mDataProp_0=id&sSearch_0=&bRegex_0=false&bSearchable_0=true&bSortable_0=true&mDataProp_1=user&sSearch_1=&bRegex_1=false&bSearchable_1=true&bSortable_1=true&mDataProp_2=game_id&sSearch_2=&bRegex_2=false&bSearchable_2=true&bSortable_2=true&mDataProp_3=server_id&sSearch_3=&bRegex_3=false&bSearchable_3=true&bSortable_3=true&mDataProp_4=order_id&sSearch_4=&bRegex_4=false&bSearchable_4=true&bSortable_4=true&mDataProp_5=money&sSearch_5=&bRegex_5=false&bSearchable_5=true&bSortable_5=true&mDataProp_6=amount&sSearch_6=&bRegex_6=false&bSearchable_6=true&bSortable_6=true&mDataProp_7=status&sSearch_7=&bRegex_7=false&bSearchable_7=true&bSortable_7=true&mDataProp_8=createtime&sSearch_8=&bRegex_8=false&bSearchable_8=true&bSortable_8=true&mDataProp_9=operate&sSearch_9=&bRegex_9=false&bSearchable_9=true&bSortable_9=false&sSearch=&bRegex=false&iSortCol_0=0&sSortDir_0=asc&iSortingCols=1&_=1454085020259 | ERR: (ThinkException) 非法操作getCounts
[ 2016-01-30T00:30:41+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003214s ]
[ 2016-01-30T00:30:41+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000093s ]
[ 2016-01-30T00:30:41+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002637s ]
[ 2016-01-30T00:30:41+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000126s ]
[ 2016-01-30T00:30:41+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002571s ]
[ 2016-01-30T00:30:41+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:30:42+08:00 ] /admin.php?m=order&a=getCounts&sEcho=1&iColumns=10&sColumns=id%2Cuser%2Cgame_id%2Cserver_id%2Corder_id%2Cmoney%2Camount%2Cstatus%2Ccreatetime%2Coperate&iDisplayStart=0&iDisplayLength=100&mDataProp_0=id&sSearch_0=&bRegex_0=false&bSearchable_0=true&bSortable_0=true&mDataProp_1=user&sSearch_1=&bRegex_1=false&bSearchable_1=true&bSortable_1=true&mDataProp_2=game_id&sSearch_2=&bRegex_2=false&bSearchable_2=true&bSortable_2=true&mDataProp_3=server_id&sSearch_3=&bRegex_3=false&bSearchable_3=true&bSortable_3=true&mDataProp_4=order_id&sSearch_4=&bRegex_4=false&bSearchable_4=true&bSortable_4=true&mDataProp_5=money&sSearch_5=&bRegex_5=false&bSearchable_5=true&bSortable_5=true&mDataProp_6=amount&sSearch_6=&bRegex_6=false&bSearchable_6=true&bSortable_6=true&mDataProp_7=status&sSearch_7=&bRegex_7=false&bSearchable_7=true&bSortable_7=true&mDataProp_8=createtime&sSearch_8=&bRegex_8=false&bSearchable_8=true&bSortable_8=true&mDataProp_9=operate&sSearch_9=&bRegex_9=false&bSearchable_9=true&bSortable_9=false&sSearch=&bRegex=false&iSortCol_0=0&sSortDir_0=asc&iSortingCols=1&_=1454085041692 | ERR: (ThinkException) 非法操作getCounts
[ 2016-01-30T00:31:37+08:00 ] /admin.php?m=order&a=getCounts&sEcho=2&iColumns=10&sColumns=id%2Cuser%2Cgame_id%2Cserver_id%2Corder_id%2Cmoney%2Camount%2Cstatus%2Ccreatetime%2Coperate&iDisplayStart=0&iDisplayLength=100&mDataProp_0=id&sSearch_0=&bRegex_0=false&bSearchable_0=true&bSortable_0=true&mDataProp_1=user&sSearch_1=&bRegex_1=false&bSearchable_1=true&bSortable_1=true&mDataProp_2=game_id&sSearch_2=64&bRegex_2=false&bSearchable_2=true&bSortable_2=true&mDataProp_3=server_id&sSearch_3=&bRegex_3=false&bSearchable_3=true&bSortable_3=true&mDataProp_4=order_id&sSearch_4=&bRegex_4=false&bSearchable_4=true&bSortable_4=true&mDataProp_5=money&sSearch_5=&bRegex_5=false&bSearchable_5=true&bSortable_5=true&mDataProp_6=amount&sSearch_6=&bRegex_6=false&bSearchable_6=true&bSortable_6=true&mDataProp_7=status&sSearch_7=&bRegex_7=false&bSearchable_7=true&bSortable_7=true&mDataProp_8=createtime&sSearch_8=&bRegex_8=false&bSearchable_8=true&bSortable_8=true&mDataProp_9=operate&sSearch_9=&bRegex_9=false&bSearchable_9=true&bSortable_9=false&sSearch=&bRegex=false&iSortCol_0=0&sSortDir_0=asc&iSortingCols=1&_=1454085041693 | ERR: (ThinkException) 非法操作getCounts
[ 2016-01-30T00:52:24+08:00 ] /admin.php?m=Order&a=index | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003949s ]
[ 2016-01-30T00:52:24+08:00 ] /admin.php?m=Order&a=index | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003764s ]
[ 2016-01-30T00:52:24+08:00 ] /admin.php?m=Order&a=index | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000303s ]
[ 2016-01-30T00:52:24+08:00 ] /admin.php?m=Order&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 223 行.
[ 2016-01-30T00:52:24+08:00 ] /admin.php?m=Order&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 244 行.
[ 2016-01-30T00:52:24+08:00 ] /admin.php?m=Order&a=index | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:52:38+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.004008s ]
[ 2016-01-30T00:52:38+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000082s ]
[ 2016-01-30T00:52:38+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003474s ]
[ 2016-01-30T00:52:38+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000124s ]
[ 2016-01-30T00:52:38+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002416s ]
[ 2016-01-30T00:52:38+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:53:34+08:00 ] /admin.php?m=Order&a=index | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002643s ]
[ 2016-01-30T00:53:34+08:00 ] /admin.php?m=Order&a=index | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002551s ]
[ 2016-01-30T00:53:34+08:00 ] /admin.php?m=Order&a=index | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000107s ]
[ 2016-01-30T00:53:34+08:00 ] /admin.php?m=Order&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 223 行.
[ 2016-01-30T00:53:34+08:00 ] /admin.php?m=Order&a=index | NOTIC: [8] Undefined variable: title 44bdf9bb1cd026e60b48bef2cc33a22a.php 第 244 行.
[ 2016-01-30T00:53:34+08:00 ] /admin.php?m=Order&a=index | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:54:31+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003196s ]
[ 2016-01-30T00:54:31+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000101s ]
[ 2016-01-30T00:54:31+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002674s ]
[ 2016-01-30T00:54:31+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000127s ]
[ 2016-01-30T00:54:31+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002532s ]
[ 2016-01-30T00:54:31+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T01:06:19+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003791s ]
[ 2016-01-30T01:06:19+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000148s ]
[ 2016-01-30T01:06:19+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003606s ]
[ 2016-01-30T01:06:19+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000191s ]
[ 2016-01-30T01:06:19+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003308s ]
[ 2016-01-30T01:06:19+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T01:07:39+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002761s ]
[ 2016-01-30T01:07:39+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000108s ]
[ 2016-01-30T01:07:39+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002726s ]
[ 2016-01-30T01:07:39+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000145s ]
